cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41
61,Pardon,- Pardonne,pardon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Francef,"Francef
- Non",Aae,la France,roi de France,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ollert,Oll,L6on,Villlers,lac lEri,ler,"A' 
t

ES",mollet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Beauregard,"chateau de
Beauregard",A Beauregard,chteau de Beauregard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Agis,5I,"2-,-AgIT-G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"JE
III 

IL
t","III 

I&","G

III


S
f
IL",e:-r- es-Ziiciiiaii i,"III

I
CI","--g,.s-I.-r rrr","II

I","III 

I","III

R
II

-'


1 L.
1",GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Alleghanys,rivieres Alleghany,Allehany,monts Alleghanys,J1,"N

E",Alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,moyen8,Voyel,Voyez,Z0,MP,"I
M",Soyez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,penetra,Wurd,tu6s,penetrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Ierme,fier,gibier1,ecoliers,oflficiers,merisier,D,Iin limier,cap Rosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,E'i.I,II.i1,II.L,"II.I
II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,lUne,lune,forlune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,gueirre,guee,Iatigues,divulguee,EII,ET-,vigueui,zxzcE-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Demohl,mademoiselle,mademoiselle 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"A---
 
III",a-- Hlasl,Osna,A---,A----t,J',JE.-',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,prepara,pepare,eparee,n1,Il3,peparee,epars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Tes,ctes-,htes,dilficulteset,a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Chaussée,El,LÀ,chaussues,saus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Longtemnps,Lona,Iayelon,egayer,payeus,C'6tiit,i Rollon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,epondre,reponde,repondre,satnis reponse,Londres,Lo,hein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,nuanoe,Franoe,Fran-,fray6,Franeais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ellE,C.L:.-'---elle,lExcellenll,mne rappellerent i la desolante realit6,Osna-Elle-Lucie,adesse avee luuelle,ELLE,selle,1'elle,Celles-ei,I3ELLE,eLLE,",elle",Telles,"II

ELLE",cuelle,senlinelles,crnelle,ELLe,ELLE2,l3elle,Quelles,"E
E
ELLE",soreellerie,,,,,,,,,,,,,,,,,,
83,Maleval,Malevul,chateau de Maleval,Malevall,Mee de Maleval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,-L,.-eer-,guer-,Iatiguer,guerisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,extreme,remettez-le-moi,mneme,Mattre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,taces,Tacy,Circes,Enlaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1(0,.et;L.,Ocean,lOcean,II1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,GEFFROY,GEIFFR0OH,".E',1",GEIFROY,GEFFIOY,.EFFROI,CGEFIFROY,GEFROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,.G,L2LLLLL,LLLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,lesFrangais,Frangais,Iragais,Fugais,Fangais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Ii-,Maclay,Mluclay,saclem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,BELLB,BELLL,"Nouveau-

I.1
1
I
A
I
M




I

LA BELLL 1",BELLlE,BLLLE,BELLlE RIV1LE,LA HELLlE,BELLLE RIV1En,"BELLlE R1ELLE
Deux heures",HELLlE,cascabel,boutellle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"chefl
- Attendez",attendenl,senl,E;.,.L-L,t1,batte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"ŒIl
I",L’,ŒIl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bois-l'racy,Bois-Arbres,Bois-Être7,bois-il6s,HBois-,du bois-le,Bois-Ombre,Bois-Brles,brave Bois-Elle,Bois-Irai,Bois-,Bois-irai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Le soleil,gand soleil,soleil,regardez le soleil,Le succbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,rien-Bleu,Leu,Corbleul,pleus,e’,.::A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,J7,Paris,parcouri,paratt,parviut,ParcE,F,parlez1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,clotue,aflot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,s---=-ee,mrs,Ln,--=--=---====-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,jura,A minuit,Inuimurai,EX2ET,Ennui-a,enTourait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,zzz:35-,Apes,apes-midi,aupes,Apes ue,pese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Idiens,Indien,a¬¬.,toldos indiens,Indiens,Indies,L'Indien,Lesindividus,cinIndiens,L'Indien sourit,L.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Pas,passee,pas7,Pa-,A'L,.:,- Pas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,r7:--,--a,Là:--a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Plt,S',plts,seplt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,NE,atepelt,l1,epee,Createur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Mexique,drue,Atlantique,Ameique,Amel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,du Nord,Hll1,l'Amerique du Nord,Amerique du Nord,"Amerique du
Nord",.-2,Nord,tad,"m

A",golfe du Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,avee,foid,drole avee,Pavenu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"OR

I:E
E
L

a

g","E
E
t","OR

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Aewerccr-,perdula,percee,- Grce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,tomberent,l,nombe,g3i,Lh,timbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,penez,Venez,meprenez,- Tenez,venezl,fene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,E2-,Jean-lPol,Jan-Pol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Pſ,"II
III
I","II
II","II
III
I
II

L","ILII
II","II
iII
II","II
III 
ZZ","II
II
II 
IL","I
II","II
III 
Ii","A

I
1

II
II","I
III",".III
II","Eh
UI","I

I
III
I1","II
III","I
iII
aI
1",,,,,,,,,,,,,,,,,,,,,,,,,
117,MLLLE IIVIEIE,BELLE IVIEnE,BELLE IY1JE,"F

I

2
ELLe


i
P",IELLlE IVIEE,BELLLE IYIEnE,"2Z
F

I

2
ELLe


i
P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"I

ii","I

III","AH


Il
R
II

II
nII","II

II","6

II
 
 I

I",O,"LIAE

II

IIZ
x
E","LIAE

II

IIZ","I

IIh","II

II
t","II
III 

II

I.","11

Ii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,aisaiaraar,Tais-toil,Égal,Paisienl,Iais,sais,Jamais,Faneais,etais apelcu,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Rameau-,Rameau-d'Or,Rameau-d'O.,Rameau-d',lameau d',Ramneau-d'Or,IRameau-d'O,Rameau-d'O,Rameau-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,ICI,estici,"YSE

 ICI",Sicile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Ble maudit1,"I
Je",s-g3Rg,"IBois-
Ble maudit1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,lProserit,s''1,Prosorit,Proserit,Prossrit,Pros-,Prosoit,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,paallele,Allez,alluma,allezl,Bas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,rponse,Voyons,Yoguons,colons.-,- Allonsl,Revenons,Bonsoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"de
 castle",pyramides de Cholula,amiti6 de cbte,193,Ami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,ZIE,Cherche,cher-,Tbucher,Cher,"leude cheri
de",recherchee,R1,empecher,Cherie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,loyaut6,fauTe,Faut,vautou,Autel,suivaut,l.,Iaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,pemier,Mve,pemiere,premiere,avrche dupemier hoe,bandouliere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"I


I","I

I","Ci

I","pei

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,foree,L,lore,Ioret,Lignorez,aLOrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,.Puis,- Suis,IL L0puis,guisel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,lese,Ilavgese,ILA,CGes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,GIIFIROY,dernie,Ironie,Iroid,pironpte,I,pseudo-Ironie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,MIontmorency,Monlmorency,Saut de Montmorency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Iume,c0Tu,coStume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,opinion2,Albion,Enviion,Seduction,Ion-,Roproluction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,cumbree,BrEF3r;(Frc,scabrex,breche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,HEl,"HEl
I","El
E","El
f
Ii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"II
I

HIII","I
I

I.","I
I

ILII","II
I

I","II
I

II

1N
.:G","II
I

 


E","II
I


E","II
I



II","II
I

I

x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Angle,Anglelterre,"S

D",Angleterre,Anglelerre,Celte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,retou,beto,touva,etou,Poitou,Er,toul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,hha,cheminee,heminee,MIn,Iemines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,I1,degout,coutse,outle,lout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,los votres,trallres,miseres,odres,.A1,resuma,Sevres,bruyeres,notres,aulres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,pardil,- Pardieul,Dieul,Padieul,Pardieul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Rien N,Forie,symetrie,rie,curieuxi,madries,Prie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,blancsl,fe-blanc,elanca,Blancs,melancolie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,exageree,Veuiueree,severe,tereu,fere,Ferney,L'indifferenee,jespere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,maindes raquettes,ehaque,taquenatd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Bastel,Tels,Pestel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,N',aS,"S

E
E","E
E","2E
E","S



E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Bergei,l3erger,Berge,.aUberge,lBerger7,soci6t,Bergel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,hG,nousf,nousle,Yous,faisos-nous7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Peau-lRouge,Pean-Rouge,Peaux-louges qul,Peaux-louges,Peaux-Rouges,Peaux-Rouges2,Chteaux-,Peau-Rouge,Peaux-Rouges epa-,Peaux-ouest,Peaux-lRouges,Rouges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,beauceoup,Eau-Jaune,lBeau-,EAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,coureius,- trèS,fourr6s,tournai,Es-tu fou,fourrue,point dujour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,diables7,Semblables,accables,Misvables,"diables7
- Plutot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,gaiet6,Et6,"I
 P",gaieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Vois-tu,savoir7,Vois,Sois,voi,crois,IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,terrass6,Rassure,ecrasez,verrasl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,ciencel N',appaence,pesence,Providence,.%,Point de diffrence,Frunce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,yeux7,amoureuxl,euxs,demeuxez,Aucue,auixyeux,alfreux,Veux-tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,avol ehtedus,"L

E",".l

E","ſl

Eau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,est',IEst,- Est,ESt-ce,".est;:,i",Est,"I

'N",ouEst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Iin,Washiington,qualre-vingts,Washington,tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Enveloppe,echappe,Dinwidie,Dieppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Chichimeques,Ouelques,Qnelques,gre de quelques-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Dej,Deji,deji,Dej midi,A7,Deja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"E1

I
N
La","II'
1I


M","I'

I","ii'

I
E","I
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Iusil,Iils,ILs,fusils7,Usine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Prc,"E
N

- 
il
- A demain",choses7 Demanda,Demain-,bienl Demain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,E1,s-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"II
E","II
II
II
f
1","II
-'",N0tu,"1I
II
I

1
I","II
II
HUI
E","II
I","AI
II
2A","S
IIPI
II
E","II
II
I","N
grIS

II
ILII
e
III 
G","II
II
E.

I

I





I.","II'
II
II

I","I'
II
l
R",,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,faireune,faroces advesaires,faix,affairel,faire7,air2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"I
Ah
E","AI
A","I
A.,
-
300
x---i-","1 L.T
-
189
rEI

E","WZ
-
A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Bege,siege,segent7,legeret6,piege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,hospitalit6,lIe,cavalie,Teocalis,Italie,N,italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"ICI

i
:s
l
tU","N

I

i
5
R","I
S
I

I
-
m1","I

I
I1",V8,"I

I
I.
I
I","CI

I
IL","I

I
II","I

I
i","I

I
I
l","I

I
I","aH

I
I

II1I

I
i
1",".L.

I
I","I

i
I","I

I
I

Ii 1","I

I
t
I


N","I
I


I
 
 i
I",,,,,,,,,,,,,,,,,,,,,,,,,
180,Puuvre,fievre,au Havre,vrenoontra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"consentezl
- Pardieu",Consentez-,contentez,Consentez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,reveni,interveni,souveni,veni,Venise,"veni
- A",oment de veni enaide,s5,IR1AVENIR,preveni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,malgre,Malge,Malgre,"T'I
r",gre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,i5,retaitel,faitel,Parfait,c-.L,- Faites,hospilalitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
