cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
17,fanilia,cilia,Cscili,Cilil,Cscilis,Cccilia,"Ce-
cili",Cucilia,Iacil,Cncilia,Cscilia,Ccilia,U AILIA,nlion i failia,Cocilia,,,,,,,,,,,,,
18,timilez,Ile,appetile,senilee,Ilesnl,Ilepaniha,Ioriiles,Ilesciai,milenor,Agilem,Ilem,,,,,,,,,,,,,,,,,
19,Pennot,penna,Pennor,,,,,,,,,,,,,,,,,,,,,,,,,
20,anle,Anl,duranle,instanle,rzo,egocianle,constantemenle,melianle,,,,,,,,,,,,,,,,,,,,
21,relogio das maos do pae,logr,relogio,chamma do fogio,cart das maos,tar das maos a victima,iilh do patro l do meu an,,,,,,,,,,,,,,,,,,,,,
22,sectand0-se-lhe,furtand0,bDa-se-lhe,,,,,,,,,,,,,,,,,,,,,,,,,
23,Irapalhonal...,gnira....,Gonalo,Irapalhonal,,,,,,,,,,,,,,,,,,,,,,,,
24,wI3I,3I,I3,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ersm,erdao,sunerintonder,Er,tdever d,er,st tuer nis sslcr,Yerdi,qereria,ahertas2-,hver,Igather,Cleer,"ae
qrer tzl-o chere",,,,,,,,,,,,,,
26,Informaces,inforn,Iaces,careco de informaces,conformle,,,,,,,,,,,,,,,,,,,,,,,
27,jusuilcas,jusuilcas s,suiul,subjugtm,,,,,,,,,,,,,,,,,,,,,,,,
28,Queres,Querem,lheres,Quero,,,,,,,,,,,,,,,,,,,,,,,,
29,pa,Pa,panno,paouco,"pa
dns",Pasda,Pausa,Pap,Pamplo-,patao,Padrao,Pa-,,,,,,,,,,,,,,,,
30,Pedir,pedirt,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NAMILIA INGLEIA,AILIA INGLEZA,FIMILIA INGLRZ1,"PIILIA IRGLZIA
ms",Bh,NAMILIA INGLEZA,YA1 AYILIA INGLEZIA,FYILIA INGLEZA,FAIlLI1 INGLEZA,"MA NAMILIA INGLZA
embarago","UY AYILIA INULEA
annes",FANILIA IHNGLEZA,"AYILIA INGLEZIA
I77",AILIA INGLEZIA,AILIA IGLEZA,MA AMILIA INGLEZIA,AILIA INGILRZ2A,LA PAILlIA INGLEIA,PAIILIA INGLEZA,,,,,,,,,
32,plse,plse ig,vse,I8,azls,belse,wls,,,,,,,,,,,,,,,,,,,,,
33,Triste,tristeza,tribuhlal,Iste,,,,,,,,,,,,,,,,,,,,,,,,
34,Emfim,Im,Imos,im,Iim,Imes,Sim,IM1,Kimbri,IMr,,,,,,,,,,,,,,,,,,
35,gragas,Gragas,operages gaslronomicas,Praga,"emha-
raga",lagas,Aggravyam-se,,,,,,,,,,,,,,,,,,,,,
36,ispirages,suspirr,"t-
ragemn",Inspiradota,F,respiragao,viragio,Pira,,,,,,,,,,,,,,,,,,,,
37,cucar,Car-,aar-te,Carmo,r-,bigar-me-ha,bar-me,carnaal,,,,,,,,,,,,,,,,,,,,
38,Cusava,accusaio,gosavaml,Pousava,Escusava,,,,,,,,,,,,,,,,,,,,,,,
39,Fumarl,Ma,MA,maun,Mataml-,magotva,Mattos,Lma,Ma-,Maltez,,,,,,,,,,,,,,,,,,
40,Persians,sia,hyoerisia,siabe,noesia pastoril,semhesia,havsia,Asia,sI,phanlsia,vsir,,,,,,,,,,,,,,,,,
41,Praa Commercial,Praca Commiercial,azafama do commercio,Merci,"re-
commenlago",,,,,,,,,,,,,,,,,,,,,,,
42,Santa Catharina,Yirgem Santal,Catharina,0 othar,Santa Cathrina,"Santa Ca
tharina",Ctharina,Cntharina,Sinta Catharina,Santa Casa,,,,,,,,,,,,,,,,,,
43,N'ella,n'ella,fallasle n'ella,depositara n'ella,n'elle,,,,,,,,,,,,,,,,,,,,,,,
44,prop0z-me,Ent0 Iaz-me,P0z,,,,,,,,,,,,,,,,,,,,,,,,,
45,Inglez,I,inglez,rua dos Inglezes,INGLREA,Inglczes,INGLRIA,olonii ingless,INGLEZA,"rua dos
Inglezes","Ingle-
ts",fro de subdilo inglez,1E inglez,,,,,,,,,,,,,,,
46,catrl,trl,D,natrlsene,,,,,,,,,,,,,,,,,,,,,,,,
47,dt,"dt
suu","dt
mesa",dts,,,,,,,,,,,,,,,,,,,,,,,,
48,"sr
160","mar
iamhem ii nio",pi n,"mar
iamhem ii",,,,,,,,,,,,,,,,,,,,,,,,
49,Olha,Iolhas,olhand,-Olh qiue unin,orelha,Ieulhas,,,,,,,,,,,,,,,,,,,,,,
50,Inconvenientes,Ientes,Irequentes,evidente-,Quebrantes,"qe
sti daente",nteneles,ges incoherentes,chantes chiega,"setpre bri
lhantes",Yelmente,sala d lrente,,,,,,,,,,,,,,,,
51,MA FAMILIA INLEZA,INLEZA,la Iti,MA FAMILI,"t8
UIA FAIILI INLEZA",FAIILIA INLEA,"MA AMILI1 INLEZIA
E6",MA YILIA INCLREA,Y MILIA INLEZIA,MA WILIA INLEA,ILMA FAMILIA INELEZA,"UxA FAMILI ILEZIA
Aceusar-ne-hao",MA FAMILILA IRGLEZA,LMA FAMILIA INGLEZA,,,,,,,,,,,,,,
52,Seguirn,conseguiri,proseguin Mr.,Seguimol-a,cn ise segg,,,,,,,,,,,,,,,,,,,,,,,
53,Ilado,loucador,Adoplo-a,Do Iado,Calado,lad,,,,,,,,,,,,,,,,,,,,,,
54,ccrt,"Forte tol
- E elle entio",Forte,Vj,Purte,uortc,Forte con csta dul preponderancia,Inorte,Fort-,Foz,infortuo,,,,,,,,,,,,,,,,,
55,scienci soeial,yi  impaciencia,impaciencia,impavidez,Impacienta-me,nna impertinencia,Itncia,impacieneia,,,,,,,,,,,,,,,,,,,,
56,lude,juvenlude,lu,saude,,,,,,,,,,,,,,,,,,,,,,,,
57,solucao,lucta,solugos,lulo di asoluco,solueo,,,,,,,,,,,,,,,,,,,,,,,
58,cahega,Socega,E33,chegavm,caheca,cahegal,8I,,,,,,,,,,,,,,,,,,,,,
59,cidude,disnanibilidude,preciosidude,severidude,cidde,I2,lidelidude,,,,,,,,,,,,,,,,,,,,,
60,poderoia,oderosa,,,,,,,,,,,,,,,,,,,,,,,,,,
61,histaria,Daria,Iariam,haspedaria,bradari,Carialhiho,Praticaria,zomharia,deixariaal,hastaria,Diario,invariavol,patriarchal,culinaria,,,,,,,,,,,,,,
62,conlar,conlrmr,deixout conlinuar,Enlao,1r,nlar,Anonla,,,,,,,,,,,,,,,,,,,,,
63,ande l,Jenuy nio pde leixar,sor grande,"Poi
ande la",Ande,Lueia de Lamunermoor,l me lemhro de ti,ctnl grande surnreza,,,,,,,,,,,,,,,,,,,,
64,meninal,ontendimenito,menin,nenina,ienine,meninu,meuin,enina,Meni,,,,,,,,,,,,,,,,,,,
65,Porto-,Porto,pore,hoquiaberto,qurto,i port,,,,,,,,,,,,,,,,,,,,,,
66,Jonny,Jonny-,,,,,,,,,,,,,,,,,,,,,,,,,,
67,saha,trahalhar,Btalha,haj,joelhar,trahulhar,Talhados,,,,,,,,,,,,,,,,,,,,,
68,repesteiro d,Esteiro,I5,"Lteiro de
cmnnh ue",,,,,,,,,,,,,,,,,,,,,,,,
69,Paulo,carta Paulo,tcarta,,,,,,,,,,,,,,,,,,,,,,,,,
70,Culos,Crlos,Ctrlos,Curlos.a,ie Crlos,Crlosl,aliur los,Cirlos,"Cr-
los",- Curlos,Tolos,,,,,,,,,,,,,,,,,
71,pregulg0so0,O0,g0,,,,,,,,,,,,,,,,,,,,,,,,,
72,IlIdJ,Ilio,Ili,ElIll,Cosme illis-boas,Ilisque,Tanilii,E5-Li,exemplilicar,inhalilitava,OPINI0 PUILICA,PILI,LI,Alto Ili,atealilis,lilura,ili,,,,,,,,,,,
73,Yimol-a,Proeuremol-a,procuremoes,proeuse,,,,,,,,,,,,,,,,,,,,,,,,
74,XI,YXII,XXIX-,XXI-0,,,,,,,,,,,,,,,,,,,,,,,,
75,compnlicuges do lisei,licis,Qualicr,pratlici,Liici,"si-
licioo",Vicior lIugo,,,,,,,,,,,,,,,,,,,,,
76,Fortunato,Foriunato,Fartunato,Fortunii,los Fortunato,Frtunato,Tortunatol,Fortunto,,,,,,,,,,,,,,,,,,,,
77,sg,htsg,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"elevanda
IIis",andaanm,Anda,nd,Manda-os,Lmenda,"visao da
varanda",Iurandg-se,Shandy-,Andral,mnda,Donda,levand loage,"va-
randa do occidente",Bnl of gland,Crda,andar de cima,,,,,,,,,,,
79,puc,pu,quc,,,,,,,,,,,,,,,,,,,,,,,,,
80,IGLEZA,IMGLEZIA,"IGLEZA1
nyl",IMGLEZA,FAILI IGLEZA,"INCLEZA
tlistas",,,,,,,,,,,,,,,,,,,,,,
81,I6,I6ta,AI6,,,,,,,,,,,,,,,,,,,,,,,,,
82,Almas,palmas,"L""",LM,,,,,,,,,,,,,,,,,,,,,,,,
83,Autonia,tonia,Laponia,Anonia,Atonia,Auonia,Anlonia,boslton,matrimonialmente,Anionia,Ionito,Bonito R,begonia,,,,,,,,,,,,,,,
84,uinze,nai yisrtuds medicinees,Ine,Coineidia,inn ini nergioe,Sineho,Inmartine,inexatctaa,hoinen,IIm allinete fe,,,,,,,,,,,,,,,,,,
85,Bem,Sabem,s6 saben,sabere,Imbem,,,,,,,,,,,,,,,,,,,,,,,
86,"fe-
hivt",Vt,fe,,,,,,,,,,,,,,,,,,,,,,,,,
87,XXXVILI,XXVIl--,XXKYV-,XXXYII-,,,,,,,,,,,,,,,,,,,,,,,,
88,historla,"Ii dantes er
uma santa historia",istol,Morlays,"sa histo
rias",,,,,,,,,,,,,,,,,,,,,,,
89,vn ma crimein,Crimeia,Creiaml-me,discriminagio,,,,,,,,,,,,,,,,,,,,,,,,
90,express5es,impressi5es,"pro-
gresso",expressiva,expans5es,Fm,,,,,,,,,,,,,,,,,,,,,,
91,Iilla,Illar,Iillio,,,,,,,,,,,,,,,,,,,,,,,,,
92,iorca,Iorca,forca,orco,iorcesnsens,,,,,,,,,,,,,,,,,,,,,,,
93,esaminar,inai,V0,Yina,QUNIN0 AILLCCINAD0,aina,illuminair,"China,-um",finad0os,,,,,,,,,,,,,,,,,,,
94,apparigio,Apparece,Parece-me,Pareceu-me,Parecen-lhe,,,,,,,,,,,,,,,,,,,,,,,
95,fumiliar,Imilia,familia,PMILIA,famili,,,,,,,,,,,,,,,,,,,,,,,
96,Alm d'isso,d'isso ieve,d'isso,issol-A,"d'isso
ciii iaion",Porisso,,,,,,,,,,,,,,,,,,,,,,
97,ximou,ji proximo,arralaldes proximos,sofa proximo da janella,Ji,"je
proximo dn porta",,,,,,,,,,,,,,,,,,,,,,
98,somma avultada,Ialtava,vo alta,Walta,Fltava,Exultava,,,,,,,,,,,,,,,,,,,,,,
99,Justnmente ni accasiio,otccasioes,ma d'estas occasioes,occasioes,occaso,,,,,,,,,,,,,,,,,,,,,,,
100,cuidudo,Cuid,Cuidei,Cuidns,Cuida,,,,,,,,,,,,,,,,,,,,,,,
101,mielancolia,melancolic,polia,,,,,,,,,,,,,,,,,,,,,,,,,
102,livertiamn,Liverpool,verpool,VIveris,,,,,,,,,,,,,,,,,,,,,,,,
103,Costumo,costua,costra,ostuva,costuman,M1,,,,,,,,,,,,,,,,,,,,,,
104,Esti,emrestin,stistss,ue esti ahi,Estive,vestidura,desti0,destino das naces,Iestim,Estiveste,,,,,,,,,,,,,,,,,,
105,Cedofeita qtle elle,esecie de helleza,aqelle,aquoelle,elle,relleo,excellencia,Itou n'velle,olisncia lelle,elle fuma,Mademoiselle,ms promelleu,naqttelle,Aqelle,atuelles,hellal lla nauelle,ell,celle,"hon
frmada co elle",,,,,,,,,
106,larai,Irai larai lal,"x. LA:.It.:1
.I",Irai Iarai,rai lari,lrai la,la rai,,,,,,,,,,,,,,,,,,,,,
107,Toca,canar,bleca,ca,canna,arrauca,PACA,Iaca,camiuho,casl,b0ca,Carrical,,,,,,,,,,,,,,,,
108,Atraves,atravessr,atrazado,,,,,,,,,,,,,,,,,,,,,,,,,
109,a(qui,ii d'aqui,Aquillo,l'aqui,tranquillisar,Auillo,Aqtillo,Aquila,,,,,,,,,,,,,,,,,,,,
110,Deculpa,cujn decurso,docurt,Jn,Ecuto,i,loucurs,,,,,,,,,,,,,,,,,,,,,
111,conheeida,Reconheceu-os,conheceste,reconhicid,uu-,Chceu-al,,,,,,,,,,,,,,,,,,,,,,
112,Deixzem Carlos,Catlos,Foz o Carlitos,Carlos,Casrlos,Ekste Carlos,arloi,Entio?-repetiu Carlos,quarlo,Cnarlos,Isio de Carlos,"dt
Carlos",qliarlo,Carlos-,Carlosl-,Carlos.-,Caurlos,"Cinza passoeu-
Carlos em csa",Carloes,,,,,,,,,
113,Viegas,Yiegas,cheegasst,l,Lk,,,,,,,,,,,,,,,,,,,,,,,
114,IDei,bDeus,Eu,IDeus,Valha-te Deus,lh-me Deus,odeur,Deusl,,,,,,,,,,,,,,,,,,,,
115,Depeis de Ii,llepois de curta hesitacao,"cono tas de p es 
gne",mir bocjos de fastio,"iei
mn niiimi de iodos is ji esidnas",ruhot de fuces,estaluelas de louga,"es ps  iel s
is de vgair",,,,,,,,,,,,,,,,,,,,
116,puerilidades,"sc
uvida",cuvidades,vivacidadt,us cidades,cnj vida,velleidades,,,,,,,,,,,,,,,,,,,,,
117,IEran,Moliere,Ier,commietier,"qus
ier","si-
dopiero",Miericorlia,,,,,,,,,,,,,,,,,,,,,
118,Lsta,Basta,Stai,Lsta de,n'sta,Cnlos oi hastant,,,,,,,,,,,,,,,,,,,,,,
119,hmanh,manhi,Lsta manhi,"manhine
jardim",st mnhi,Annhi,Conpanhia,--N'aquoll manhi,est manhi,MAN0EI,ananhi,anhi,Amanha,,,,,,,,,,,,,,,
120,Rohoredo,Credol,Roloredo,crredor,doro,arredoun,,,,,,,,,,,,,,,,,,,,,,
121,esuio,sa es e.,Es-,Lnmes,acges,respostes,es,Xes,Neso,trescessem,pes,soes,Ces:-hradava,sahes,sesd,mesurs,mesm0,Es,"dis
   es",piwes,ttes,libag6es,nesn,negotcia6es,,,,
122,Hussia,joeosss,ossia,ssily,pene ossin,ssin,Iossini,Iossil,Hossi-Cassi,Passiay,Escossia,,,,,,,,,,,,,,,,,
123,tilissimas,Imas,IMas,nmas,Ima,,,,,,,,,,,,,,,,,,,,,,,
124,dizend,faxzenda,Ize,dizend0,Irazendo,Dize-me,,,,,,,,,,,,,,,,,,,,,,
125,Umn,hymno n Cnrta,"eeyg-
mnin",Mns,cmnpo,Emn,Mn,Timne,Mnd-a,Wmnan,,,,,,,,,,,,,,,,,,
126,Hem,hem,tmhem,tarthem,tahem,L-Ulhem,heml,,,,,,,,,,,,,,,,,,,,,
127,pre,senipre,preges,"pre-
ferencia",Qusi seipre,seunpre,cmpreza,semnpre,senpre,pree,semipre,supremo gran,selim preto,,,,,,,,,,,,,,,
128,Ils,ILogo,Vil,Il,uIl,Ilouve,subtil7,faeil de illudir,Ilrss,mtilo,sil,,,,,,,,,,,,,,,,,
129,victoria ceri,Victoria,victoria,hiatoria,sye Victovri,Emilid Victorina,Victlor,viclorias,,,,,,,,,,,,,,,,,,,,
130,Sena,serena,ieverendo Jaclson,Berenice,ii  sere,erenidia,,,,,,,,,,,,,,,,,,,,,,
131,creanga,una creanga,Creacal-,creaneas,,,,,,,,,,,,,,,,,,,,,,,,
132,soare,igrej,"ptssY40
hre",r re,reeo,RE,Tibhre,nesre,retcco,Gabarem,rerecdo,iscrets,discrelumehte,"g
hre",polre,Pohre,"re
hao",,,,,,,,,,,
133,paixaa,paixao,"compaixsao de
miml",e;o,Caixa,,,,,,,,,,,,,,,,,,,,,,,
134,b0ca de um eslranho,Transpunha,estranhari,Eutranha,estranhad,Estranhaya-a,estrada de cima,,,,,,,,,,,,,,,,,,,,,
135,irma.-,irma,"quasi l-
nha irma.-","TT
A.A.11",,,,,,,,,,,,,,,,,,,,,,,,
136,lin-,tinl,linl,lin?-,linpa,,,,,,,,,,,,,,,,,,,,,,,
137,bocejo,coruejo,coruejo uneral,,,,,,,,,,,,,,,,,,,,,,,,,
138,kKate,Eate,Ate,te,Katel,Iate,,,,,,,,,,,,,,,,,,,,,,
139,Ieiges,deiv,Ieiuos,G.ieie,iei,Ohrigiei-me,Iieilt,iieinpo,nencdmnigeiei,Eiie,io n ienps en ea ciyilissie eiei,Ieigs,,,,,,,,,,,,,,,,
140,Y0,Y02,Y0nado,Y0e,,,,,,,,,,,,,,,,,,,,,,,,
141,triga de camarin,camarotle,ul camarote,cnmarote,,,,,,,,,,,,,,,,,,,,,,,,
142,Acahira,Iraca,Gracas,Praca,veneracao,caracler,,,,,,,,,,,,,,,,,,,,,,
143,Quen-,Quehninlo,tque,quen,"plene
hosque",Iuenos,quet,eque,Ii:--Que,Campo Pequeno,Quenuino,Cmpo Pequeno,,,,,,,,,,,,,,,,
144,"es
sas longas conferencias",Ias,0R SYMPOAAS,oilo dias,Australias,"Ias
dosenenci",Iias,peuenas veias,,,,,,,,,,,,,,,,,,,,
145,om fogo,God,go,acgo,gosar,Julgo,secgo,,,,,,,,,,,,,,,,,,,,,
146,Olhem,Olhe,Pecolhe,Iolhetim,Main-Olhe,nulher1,,,,,,,,,,,,,,,,,,,,,,
147,dissipaya,ni-Cissi,Iss0,S0,Issem,russ0s,,,,,,,,,,,,,,,,,,,,,,
148,siisieit,sii,Sii,Isii,ocosiio,,,,,,,,,,,,,,,,,,,,,,,
149,"uri es
E'iiii",iiieii braya,Fii,iIign,Iiui,"yeg
iii",uII,.ii.g,iii,Liiii,iiiiig,"eci di-
niiivv",iiyp,"r 
iiiin- siiii iias","iiiira;,eA",XYIII,Fiii,iii.i,iiiiie,II,III--,iiiio,ii,iiiieriuer,Liiii it,Ii,i'iiiiiis,AG'iaiiii cu
150,uito,Writo,Huito,Repito-o,hbito,Muit,,,,,,,,,,,,,,,,,,,,,,
151,Encommendaram-m,com-,complela,Com-,comha,Comltud,comrar,comocio,Comio,,,,,,,,,,,,,,,,,,,
152,Appello,apel,Appellava,ello,,,,,,,,,,,,,,,,,,,,,,,,
153,Mldo,Mlr,emlra,Mls,,,,,,,,,,,,,,,,,,,,,,,,
154,"assiu nit
ha",Assimn,Assignado,assislir,,,,,,,,,,,,,,,,,,,,,,,,
155,prgas,Praea,pr,proseygli,provts,PROI.OG0,Prgn,prr,prr-be,prte,prue7,t pr,Pruth,supr,,,,,,,,,,,,,,
156,"lal
Fi.eE.","y
.5G.2.g",G.EE.2,G.-.EE,,,,,,,,,,,,,,,,,,,,,,,,
157,bibliotheca,Biblia,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Iessa,"forgos0
niessar",d'essa,pessagem,i pressa,orssa,Iiessas,,,,,,,,,,,,,,,,,,,,,
159,saltol,sobresalt0,1E,Saltla,resalveu,tremnul de sobreslt,,,,,,,,,,,,,,,,,,,,,,
160,Precisarei,Lucrecia,Grecia,apreciar naquella,Precisei,Crescia,preconci,Precia,areci,erecia,apreci,precisira,,,,,,,,,,,,,,,,
161,Surprende,surprehde,surprendida,,,,,,,,,,,,,,,,,,,,,,,,,
162,"ms lem-
hrnea minhma",Minho,cminho,seminre,cmpinh doporui,Areinho,lix de vinho,"ca-
minho",Espinho,Minha,,,,,,,,,,,,,,,,,,
163,tunnd0,"lunh
de",un aea,nune,Un,impunhi,nuntl,unma,isunci,duns,mhund0,Nunc MIr,lunehs,cunprimieto,supunhna,,,,,,,,,,,,,
164,Carla,Carlaos,uarl0,Carlas,Carlaos  passr,Carls,,,,,,,,,,,,,,,,,,,,,,
165,Ironle,Ironleiras,fronle,,,,,,,,,,,,,,,,,,,,,,,,,
166,haneo,Alianeo,nalia,,,,,,,,,,,,,,,,,,,,,,,,,
167,nsi,insistiu,irresistivol,sist r aceitur,Bebamosl-insistiu o cro,,,,,,,,,,,,,,,,,,,,,,,
168,presenga do lillo,presenga do pe,preseng dt,presenga d'elle,presenga,presenga de Cecilia,,,,,,,,,,,,,,,,,,,,,,
169,G.Gnii,ordeni,Cni,cniiurni seside,Nidn,anigas,"urata
Nienlini",c0ni,Ni,psni,Inis,Gs.ni,NicotI,oisni,mninhas anigs,ro oiuni yg,nig,Nin,,,,,,,,,,
170,volta1,A1,Voltndo,,,,,,,,,,,,,,,,,,,,,,,,,
171,Pedra Salgada,Succeder-lhe-hia,ra succedeu,,,,,,,,,,,,,,,,,,,,,,,,,
172,N06s,N6s,n6s5,,,,,,,,,,,,,,,,,,,,,,,,,
173,Cesl,Esla,visla,Eslis,geslo,lesla,Eslsva,,,,,,,,,,,,,,,,,,,,,
174,Chrles-,Chwrles,Chrles,Hr,Crles,Chrles- coninuou lenny,,,,,,,,,,,,,,,,,,,,,,
175,V6o,campes,"Cam-
panhai",Campanha,Cmpanhai,Cimpanha,Iespanha,,,,,,,,,,,,,,,,,,,,,
176,Vae,Vae-me,vae,"t
vae",Vao,vae;-,vag,,,,,,,,,,,,,,,,,,,,,
177,Quauto,puae,Ouame,tuarse,Guarda-a,ua,L,uao,Quall,quawo,Iuar,lloem huabituado,saguao,UAA,chua,lua,,,,,,,,,,,,
178,"arrastira all
alli",Irada,Irai,Partira,retirar-e.e,Tira,Solira,nrriscira,Iravum,letiras,Fugira,idira,,,,,,,,,,,,,,,,
179,"Ilitlgtuem qlle eC0
r0nselho",Ilitlgtuem,,,,,,,,,,,,,,,,,,,,,,,,,,
180,levei  mlinha inslruccao,"inha
senhara",Vinhs,havinm,escerivaninha,Vinha amarello,vinhar,acnhar,crcaturinha,Tinham-me,vinh,,,,,,,,,,,,,,,,,
181,"Siaial Gosto
istol aSaians",saiba,praia aqi,Saia,naia,paiaia,saiut,Passaia,,,,,,,,,,,,,,,,,,,,
182,ee eau,"mu
dea",Eatd,eA,Eaeju,cea,vacea,eau,,,,,,,,,,,,,,,,,,,,
183,"t
yi",yi.t,YI0s,I0,,,,,,,,,,,,,,,,,,,,,,,,
184,Iiaen,iiaes,esgriIa,Iiana,Iaetlo,immemoriaes,sociaes,Iaees,,,,,,,,,,,,,,,,,,,,
185,Coo,Qyt,faco,Alcorao,coracao2l,bom coracio,coraco,coraes,itcaco,"coraeo est sn 
i tenlo",acordnr,Mraco,,,,,,,,,,,,,,,,
186,Iranquezn,Expliquem-as,riquez,etliquelt,Manrique,,,,,,,,,,,,,,,,,,,,,,,
187,licava,Applicads,supp0r,supplica,suppz,,,,,,,,,,,,,,,,,,,,,,,
188,Mntonia,tontar,Emqianto,Antoninha,"Antoieps
G",Antonia-,Antonit,Antonial,Manzoni,cvia plantu,Santo Antonia,Antonia,rua de Santo Antonia,Quanda Antonia,Pantleon,cantor.-aDiz,Antonia resmung0u,Antoni,Mntonin,,,,,,,,,
189,potii d vi,vist,rimeira vista,i vista,Vistula,ci visivel,Boa Vista,,,,,,,,,,,,,,,,,,,,,
190,eseriplorio,Eseri,sermes,serio tam-,Mogo deois le eseripls,desertara,eserint,transerinen,seri,Seri,,,,,,,,,,,,,,,,,,
191,mdde sgeia,Ceia,saher?1 Creia,receiando,receiava,Ceiia,,,,,,,,,,,,,,,,,,,,,,
192,Josefinha,Joselinha,Joslinha,Josefih,,,,,,,,,,,,,,,,,,,,,,,,
193,Whitestonel-,contfavm en Mr. Riehard Whiestone,lestone,Whiteslane,Whitestone-,eston,cssa Whitestlone,Whitesonee,"Crlos
Whitestone","Whitestone acci
tuva",Miss Jenhny Whitestone.l,,,,,,,,,,,,,,,,,
194,Inquie,iietaro,inquietaao,inquietagao,inquietaco,,,,,,,,,,,,,,,,,,,,,,,
195,Ilns,ilns,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Quemlhe,uem,uem in,Qem,"IBem ves
sue",alguemi,uem cr de ros,Yem,queme,,,,,,,,,,,,,,,,,,,
197,Ierreir,harreirt,"barreira dos
nostradores",Terreiro,Verei,,,,,,,,,,,,,,,,,,,,,,,
198,heijar,heijos,Cujos,Hein,,,,,,,,,,,,,,,,,,,,,,,,
199,somno,comn consieriicio,"comn
trenor",comn,tcomo,recomnpens,comnmentou,,,,,,,,,,,,,,,,,,,,,
200,eeoneeu in,licenee,i.i aG  inee,Mneel,"veneer estee pe-
mneitos de",nee,iinee,cneelu,rmnanee,,,,,,,,,,,,,,,,,,,
201,"st
ossa",atmospnhera,nossa atmosphera,,,,,,,,,,,,,,,,,,,,,,,,,
202,Iiculdades,Iaridade,dade,Adas,minuciosidades deleituosts,naluralidade,Ielicidade,Irialdade,adetus,"uI
rapa da minha idade",Yontade,Uoda,,,,,,,,,,,,,,,,
203,LNA,Shna d,Nao,gnnao,,,,,,,,,,,,,,,,,,,,,,,,
204,Eituam,situages la vidae,Itu-,situages,situagio,siti,gages,,,,,,,,,,,,,,,,,,,,,
